line,season,episode,character
And you didn't invite any of us?,7,14,Andy
He definitely stole my iPod.,5,24,Jim
"No, no, that guy who hit on me.",5,26,Pam
Nothing. It's mine.  What happened to my Tavis Smileys?,9,14,Darryl
Uh-oh. Looks like Santa was a little naughty.,2,10,Michael
I was thinking exactly the same thing.,6,5,Michael
"You know, my rectal electro-ejaculator is rated for bovine use only but I could let you rent it.",8,21,Dwight
Ay-o!,4,1,Andy
You're back in.,7,22,Pam
That's fine.,1,1,Dwight
You got a lot of anger under there buddy. Come on start us out. Unleash it.,2,21,Michael
"No, I should probably go too.",3,5,Pam
No communication with the outside world Jim.,4,6,Dwight
"I forgot if there was an ""e"" between the ""l"" and the ""y."" I still don't know.",5,15,Jim
I meant dressed up compared to normal. You usually dress like a ghost-buster.,8,10,Darryl
Dwight! Oh my gosh! Dwight!,8,12,Angela
"Ok, when's the shunning thing gonna end?",3,19,Andy
"Yeah? Pretty cool, huh?",8,4,Andy
"It's so freakin' hot in there. Now I know what Bob Hope was going through when he performed in Saudi Arabia. Man! I got Dwight sucking the funny out of the room, but you do what you can do. Here we go, he's early with the cue. Here we go.",2,1,Michael
Monkey.,5,1,Dwight
Three to four hours.,8,14,Dwight
"Wait, we have to go back and get your stuff.",8,19,Andy
I thought it'd be funny.,5,18,Jim
"You're not paying me to heal, you're paying me to kick ass.",8,15,Dwight
I’m gonna need you to look at your hierarchy mobile. You’ve got a regional manager.,9,22,Jim
Hail to the chief!,3,23,Andy
I can't decide what to get.,4,14,Kevin
"...Dunder-Mifflin can't compete with the modern chains, and management is unwilling, or unable, to adapt. Their customers are dying off...",3,16,Ryan
How long has he been in the bathroom?,8,17,Dwight
"Come on, stay, alright? It's good for people to get to know you.",8,10,Darryl
Thank you.,5,14,Pam
Are you enjoying your mineral water?,4,2,Dwight
Ahh! Sorry I couldn't resist. It's so quiet.,8,15,Andy
"No, I think they mean more like a politician.",9,19,Phyllis
"Guys, we cannot do these performance reviews, okay? If we go into them, you're basically accepting Nellie as your manager, and trust me, you do not want her as your manager.",8,19,Jim
She would get this little foam mustache...,3,10,Michael
"Oh yeah, yeah... hope that's okay.",2,13,Jim
"Last week, I may have gone too far. I'll explain it quickly. Basically, I found out where he gets his clothes dry-cleaned. Custom ordered the same suit, made with tear-away Velcro. And... you can fill in the rest.",8,24,Jim
I take it back.,2,4,Pam
"Hey, Toby.",4,1,Pam
"Shut it, shut it, shut it. Will Lady Fortune be your mistress? Only time will tell, my friends. Leave all your preconceived notions about casinos at the door. Old friends, new lovers, and the disabled! Welcome all! Great, okay. Shuffle up and deal. Let's get it started! Black-Eyed Crows.",2,22,Michael
"Yeah, well, that's just a pick-up scene. Okay, we don't have to volunteer. But I think we should hang out more together.",7,7,Michael
That's me.,9,4,Kevin
Just seems awfully mean. But sometimes the ends justify the mean.,5,8,Michael
"You are going to learn to be more professional, Luke!",7,1,Michael
"Ooh, I like where this is going. Unfortunately I have a lot of work today so I’m gonna have to hand this off to my number two. But, don’t worry, he’s the best in the biz.",9,22,Jim
It's gotta be because they all want their clients.,5,24,Ryan
"Well, it's tight, as with any start-up.",7,9,Ryan
Do you need 'em?,5,4,Michael
Because it's your making-fun-of-fat-people character.,5,1,Oscar
"The most important part of a speech is the opening line. When time is not a factor, I like to try out three or four different ones.",3,15,Michael
"OK, I'll call the real police.",3,21,Jim
"She's engaged, um... to me.",5,4,Jim
We won't let you down.,4,10,Andy
Bye Pam.,3,10,Dwight
"Hi, Toby.",7,11,Kevin
Who knows?,4,3,Darryl
Give it to me Dwight.,2,12,Michael
"Outback steakhouse. I'm Australian, mate!",1,2,Dwight
"I just thought you should know that I was just offered a job with better pay, better benefits and a better title at Cumberland Mills.",2,5,Dwight
"Would you rather me say ""Hey guys, my irritable bowel syndrome is flaring up?""",6,11,Andy
Oh. Yeah. You're out of here! You're... Yeah. I hate you!,3,15,Michael
"Listen, I would like you to take me to Andy's play tonight.",7,3,Angela
"I hate the idea that someone out there hates me. I even hate thinking that Al-Qaeda hates me. I think if they got to know me, they wouldn't hate me. But Karen knows me, and she still hates me, so...",5,14,Pam
You can't. You can't.,7,13,Andy
That's never the case.,6,7,Angela
"Oh, thanks. You're not bad, either.",6,21,Michael
"No, no, no. I just need to tell them. I just need to tell them.",9,13,Dwight
I'm already in business school.,2,11,Ryan
"You know, maybe we should just have our own pregnancies and not pretend like we’re in this together.",8,2,Pam
Ready to play some games? Let's do it!,5,3,Michael
"Uh, someone forged, uh, medical information and that is a felony.",1,3,Dwight
"Andy still doesn't know that Angela's having an affair with Dwight. And it's been seventeen days. I mean, eventually he'll figure it out, when their kids have giant heads and beet-stained teeth. But right now it's just... awkward.",5,11,Jim
"Lynn, follow me, come on in. For you we have one of our top people Kevin Malone. Kevin, come out here show your beautiful self.",5,16,Michael
You should get out of them.,3,14,Michael
"Cool. Hey, are you guys hiring?",2,20,Ryan
Idiot.,2,11,Michael
"Haha, what?",8,3,Andy
"You wanna take Darryl, Phyllis, Toby, Angela and Oscar?",8,14,Andy
I'm sorry.,5,25,Kevin
"Yeah, baby, I am feelin' better. My body's literally healing itself. It is amazing what the human body is capable of when you have a powerful brain.",2,12,Michael
The warehouse fire. Weren't you just down there? It's like burnt to ashes.,9,15,Andy
"So you have 40 boxes going out, and I will deliver those personally in a Sebring. Very good, nice doing business with you. Thank you. Yes! Oh, yeah! Read it and weep. Oh! Oh, look at that!  Look at me, Phyllis! Oh, what is that? That's my sale!",2,14,Michael
Please don't do that.,2,9,Michael
I want us to make it. I want a fresh start.,3,17,Pam
I actually look forward to performance reviews. I did the youth beauty pageant circuit. And I enjoyed that quite a bit. I really enjoy being judged. I believe I hold up very well to even severe scrutiny.,2,8,Angela
"Oh! Hey, I hired them! Matchmaker! This place is like Spaniard Fly.",6,1,Michael
Hey.,2,3,Jim
Yes! I can marry you as regional manager of Dunder-Mifflin!,2,11,Michael
Yeah Not that they're not smart people.,8,3,Jim
You are being too modest.,3,22,Michael
Can you arrange a meeting?,9,8,Angela
"Everyone, we have a voluntary meeting in the conference room to discuss Erin's confidence.",9,2,Darryl
Please stop. People are having a Christmas party.,5,10,Jim
"Silence. You'll now be working in the warehouse with the untouchables. Now, go make your hands rough with work.",9,14,Dwight
"Oscar, we once sucked face in public. As part of an office presentation to destroy the stigma of gay kissing. Do you recall?",7,4,Michael
I really think we should join forces on this one.,7,17,Jim
"Well, then. Why don't you look over some of our materials?",5,6,Dwight
You embarrassed me earlier.,6,20,Angela
She wandered off like an idiot.,7,14,Erin
Who's that?,3,23,Jim
"No, he's not making this up.",8,24,Erin
"Come on. Uh, are you gonna wear your heels?",9,1,Andy
"Do you, do you want a drawbridge?",3,19,Andy
"Get off my ass, you hag.",5,22,Ryan
What's America gonna do?,7,10,Erin
OK you are useless.,9,16,Dwight
Come on! Just show me the Power Point.,9,4,Darryl
"In the wilderness. It's not with a group of guys frolicking around in tents. It's one guy, or two guys, if your plans change.",4,7,Michael
"Bugh, boring. All she talks about is chores.",9,2,Andy
As an object.,4,4,Ryan
"You have to pick an approved, non-profit organization.",2,22,Angela
"-Cornell Application Department,",5,5,Dwight
That is not the question.,5,12,Kevin
"All right. All right, just ...stay focused on the pill.",9,5,Dwight
You guys are throwing a lot at me.,5,17,Kevin
Okay.,4,13,Michael
What is that? It is your birthday period.,5,14,Jim
"You threw the summoning bag at me, sir?",9,22,Jim
"Oh, okay. It’s just that’s how Cece does it with the backwards ‘E’s.",9,7,Pam
"Ok, alright.",2,7,Michael
I've got the key.,2,6,Dwight
All right. Formative years.,6,17,Andy
"Yeah, but I'm still an employee here, and that part of me is really excited about the change of scenery. What's the square footage in the new place?",7,10,Dwight
You have to agree with me. That's insane.,5,1,Michael
"Uh, they're good. Uh, Jim's good. We're engaged.",5,14,Pam
You're an exec at Pennsylvania Solartech and-,7,5,Jim
Hello? Hello?,5,7,Angela
"No no no no no! We can say that the previous owner was a neat-freak. Or an elegant old lady and she just kept it around in case her grand-kids came to visit, but they died and they never came, I think I'm gonna make myself cry.",7,17,Andy
My German is pre-industrial and mostly religious.,5,19,Dwight
You did not have sex with Pam's mom.,6,6,Jim
Not a surprise.,5,15,Jim
You're sure?,5,15,Michael
No. He was maybe thinking of you for it.,9,21,Jim
This is not work talk.,3,21,Angela
"Today is Safety Training Day. Toby is leading ours upstairs. Yeauck. But, I am giving everyone a little bit of a treat. We are going to listen in on Darryl's presentation to the warehouse. And if I know Darryl, it gonna be zoppity.",3,19,Michael
Can we see that? Did you really find it?,8,15,Oscar
What does Josh McAuliffe know about the paper business? He works for a news…thing.,9,19,Dwight
So I guess I can't get up.,3,5,Jim
"What are you talking about? You're not the boss. Andy is. Andy?Phyllis, Kevin &",9,4,Jim
And you didn’t call Jim - that seems significant.,9,7,Dwight
What? I told them busiest...idiots.,2,1,Michael
I mean you can tell.,1,4,Michael
What do you want me to do Jim?,4,1,Michael
"Wait a second, how does the steak factor in again?",5,2,Andy
"You're awake. Andy, this is my brother, Reid.",6,17,Erin
What did Jan want?,3,7,Pam
What you have are specific families. What's the guy's last name?,6,5,Ryan
"Rather than spend all day in court, we've decided to settle our dispute using a mediator. It was an option spelled out in our childrearing contract.",6,23,Angela
You are gonna get seasick if you keep reading in here.,2,11,Michael
Hello. Credit card rep Hello Mr. Halpert. I'm calling from the identity theft department at Capital One. We've detected some unusual activity on your credit card.,6,5,Kevin
"Oh, I took out my lifts.",9,22,Andy
Good news.,4,3,Michael
Blink once if you want me to pull the plug.,4,1,Dwight
I think you'll agree I explained that pretty well.,9,15,Andy
"I'm sorry, isn't that good enough for your anus? Don't get me started on how coddled the modern anus is.",7,10,Dwight
"I mean, I can handle any client issues from Philly.",9,8,Jim
"Well, that's not my fault, okay? Just.. we're not going to pay for a bathing suit. Okay, I know what you're all thinking, ""Who is this smart little cookie?"" Her name is Brenda... something, and she is from corporate. And she is here, like you, to learn from what I have to say.",2,11,Michael
"You're gonna make another ""spreadsheet.""",5,21,Pam
Printing press. Tractor. Mechanical thresher. Telephone. Airplane. The only inventions that matter.,4,2,Dwight
Well I can’t stand here if you pull the carpet out from under me.,9,11,Kevin
This is where you'll have your receiving line. Of course we'll clear out all the livestock and hay and such.,5,9,Dwight
"No, it doesn't have to just be cow stuff, right?",7,13,Pam
I am working on it.,5,14,Jim
I need new shoes.,1,3,Pam
"Fourteen years. Fourteen. I know.  Ok, alright. I gotta go. Later.",3,18,Darryl
Wait...,7,23,Jim
Yes! My head is in such pain! And turmoil!,3,19,Michael
"Will they throw their hats, you think?",3,16,Michael
"I’m sorry. Is there a question? Woman 2 Uh, no.",9,23,Pam
"I grew up on a farm. I have seen animals having sex in every position imaginable. Goat on chicken. Chicken on goat. Couple of chickens doin' a goat, couple of pigs watching. Whoever drew this got it exactly right.",3,20,Dwight
You had black hair and then gray hair.,9,17,Dwight
"If you don't like it, Stanley, you can go to the back of the bus.",3,22,Michael
Did you send those samples to Justin at Lehigh Motors yesterday? Because he didn't get 'em.,7,1,Phyllis
"All right. That's looking good. Hey um, Ryan do you have any music I can borrow.",1,6,Michael
"Yes. What? Oh, yeah, have Pam give those to me.",3,2,Michael
"There will be food. You leave, you do not get food.",6,9,Michael
"Uh oh, getting nervous Oscar?",7,10,Kevin
I'm still the boss!,9,16,Andy
"Dwight, want me to get you some eggnog?",9,9,Pam
I had no idea. And here I’ve been stapling the same way for 20 years like a frickin’ sheep.,9,21,Erin
"Hey, Meredith I need to tell you something.",9,10,Pam
Because he accomplished something.,3,8,Pam
I need to have her tell me herself. Right?,6,22,Michael
"T.M.I.? Too much information. Ah, it's just easier to say T.M.I. I used to say ""Don't go there"" but that's... lame.",2,1,Michael
This guy owns his own beet farm.,4,11,Ryan
It’s just that I’m so emotional.,9,23,Kevin
"Ohh, yeah, let's get started because uh, yes, cause uh this is very serious business and umm..",4,2,Michael
Maybe you're in the ceiling!,3,13,Andy
Yeah.,2,9,Michael
Topical.,2,2,Jim
Yeah!,1,3,Michael
Jim--- Roy--- Look out!,3,18,Kevin
Oh Michael! Where do you want your last pay check sent?,7,21,Oscar
Yeah! I mean it's a great song. I always thought it was bigger than Christmas anyway. You know?,5,1,Andy
Am I the princess?,7,4,Michael
"Aww, Darryl.",6,2,Dwight
It's really nice.,4,9,Pam
"Well, actually, it's my warehouse.",2,22,Michael
"Well, then... consider it poisoned beef. No touchy.",3,8,Michael
"All right, managing by walking around. This is our warehouse. Or, as I like to call it, the whorehouse. But don't you call it that, I've earned the right.",1,5,Michael
Hey Dwight.,4,4,Jim
There is no way that that was---,5,2,Dwight
"Yeah, maybe I’ll never be manager, but I just managed to get our most stubborn salesman to close a sale with one of our biggest clients, and I must say, it’s the most pleasant I’ve ever seen Stanley. I think we should consider injecting him with bull tranquilizer on a daily basis.",9,19,Dwight
"Dr. Johnson, we need you in surgery right away.",3,20,Jim
"Yes, I have a wig for every single person in the office. You never know when your gonna need to bear a passing resemblance to someone.",7,11,Dwight
"What do you make, secretary?",5,20,Ryan
Okay.,5,4,Michael
"No, you knew me in high school. Course, we all thought you were gay in high school.",3,1,Phyllis
"Oh, um... Jan wants you to call her.",1,3,Dwight
"Weird. Yeah, I didn't get both of your messages.",3,23,Michael
Are you sure?,6,18,Andy
Can you fake a seizure or a heart attack or something?,7,7,Michael
Friends are worth sharing a doghouse with.,6,15,Erin
"I know, right?",8,2,Andy
"Dude, I think you have appendicitis.",8,15,Ryan
"Uh, no way. I am not giving up.",5,11,Dwight
Now you're just being hurtful.,6,23,Jim
"Yes, I... Do you want to...",1,1,Jim
Do I really want to go snowboarding? No. But I would like to if I wanted to.,6,8,Michael
"Well, that was quick.",7,24,Jim
"So, in order to recoup the value of items we liked, we have to spend more money on things we don't want. Who would ever come to this?",5,4,Oscar
"Oh, yes, hello, how are you? Good to see you. Wow, you've really grown up. You know what? Don't mind me saying so, she is turning into a stone cold fox. Better keep the... frat boys away from her.",2,18,Michael
"Michael, you should stay home and rest.",2,12,Phyllis
"I just wanted to let you that Dwight's gonna be ok. The doctor said there's a really simple treatment for a concussion, so he'll probably even be back at work tomorrow.",2,12,Pam
Bringing home the bacon.,7,4,Michael
"Alright, Michael Scott Paper Company. You want in? Do you want to be a part of this?",5,19,Michael
"Right? And if I had a gun with two bullets and I was in a room with Hitler, Bin Laden, and Toby, I would shoot Toby twice.",6,23,Michael
"Oh really, Jim? What about Pam? And you did a heck of a lot more than kiss. Maybe this could be my Pam.",6,21,Michael
"One beer and one Seven and Seven with eight maraschino cherries, sugar on the rim, blended if you can.",2,22,Ryan
You buy a purse.,1,6,Jim
"Oh, that's appropriate. Lot of fire where you're going. Better get used to it. You're going to H-E-L-L double hockey sticks. You're going to Hell Stanley.",6,12,Michael
Go get your laptop.,5,15,Pam
"You're gonna like this. ""Hello. This is Dwight Schrute. If you are listening to this you are a lucky woman Michael has seduced. Ah to be in your shoes. 'What's next?', you're probably wondering. Don't be scared of you're night in heaven--""",6,4,Dwight
"Yeah. You got any news on the leads? ... Okay, I'll tell you what. I'm going out on a very important sales call. You get any news about the leads, you try me. All of my numbers. All six of my numbers, okay? Including the car phone! Alright, Dwight out!",6,18,Dwight
Do you love him?,5,11,Andy
"Michael's been trying to get Jim and me to hang out ever since he started dating my mom. I don't know. I really hoped this thing would just die out, but today he's planning a birthday lunch for my mom and we have to go. No way out. No way out.",6,8,Pam
"Hey, hey, hey. Vick did his time.",8,3,Darryl
I know.,3,10,Pam
"Oh, yeah, and when he takes the gun off his back, and he's like, ""Yippie-Ki-Yay, mother--""",9,9,Kevin
This is humongous. I am not a security threat...,2,21,Dwight
Sounds like someone's really trying to convince us that he's not the Scranton Strangler.,7,6,Jim
"Play dirty, huh? Ok, game on, man.",2,6,Michael
It's illegal. Can't do that. Next best thing.,1,6,Michael
You all right?,8,23,Jim
What is it?,7,24,Jim
"Well we should make a list. Lists are good. Lists are good. Lists are good. First on the list, let's get you out of the car. Alright. Okay...",5,20,Michael
I sold Andy's engagement ring on eBay.,5,15,Angela
It's a killer new dance move. Do you wanna talk in your office?,6,7,Jim
"Nope, you cannot use it.",1,3,Michael
"Yes, I do. Phyllis.",8,17,Andy
"Oh, oh! God. I'm sorry. Is there...?",1,6,Michael
"Yeah, yeah, yeah. Old bullpen.",2,14,Michael
I don't know. I feel... I drive a lot. I'm spending a fortune on gas and tolls -,3,21,Michael
"Well, there was a little bit of a learning curve in the conversation department, but between the sheets we were like Jordan and Pippin!",7,4,Michael
You're not leaving tomorrow. You're leaving today right?,7,21,Jim
I spent a lot of dough. Lot of dough. Wow.,2,10,Michael
"No, I was being negligent. But she's in the hospital, she's fine, recovering nicely. Tiny little crack in her pelvis. But she will be up in...",4,1,Michael
"Oh, no. No. No. No. No.",5,22,Dwight
Good policy. Sensible. Smart.,8,6,Darryl
"Oh, you know, I seem to remember that Santa promised that he would listen to all the gifts you wanted for Christmas. Didn't he say that?",7,11,Michael
"Assistant to the regional manager. Thank you Michael, for staying on.  I really appreciate it.",3,3,Dwight
"Yeah, sure, of course. I'd fire him to Timbuktu.",8,13,Andy
"It’s a youtube thing! Let’s go. Let’s go. Come on, they’re coming.",9,12,Dwight
"Time! No, you failed.",3,23,Dwight
For Madame et monsieur.,5,7,Andy
Speaking of which...,5,13,Dwight
What shape?,5,20,Michael
"It would be great if she were gone by lunch. Erin, you're up. Find her a place to work, but not too comfortable.",8,9,Andy
"Okay, I'll just go get the other guy.",6,16,Jim
Yeah.,5,9,Michael
I thought he was out on the road.,2,14,Dwight
"With peanut brittle, with macadamia nut cookies, with chocolate turtles, with raspberry jam and a little bit of fat and salt because you know what? That's what people like.",4,2,Michael
"Well, you know what? I didn't wanna hear about it either, Stanley, but I did and now I can't stop picturing it. He leaves work, he's on his way home... wham! His cappa is detated from his head!",3,4,Michael
Yeah. In all climates. It's going to be worldwide. And I'm looking for some talented salesmen to join me. That's where you come in.,5,19,Michael
"Yes, a madhouse.",7,3,Andy
And you'll compare the times?,3,8,Dwight
There's no way I'm gonna do that.,7,4,Michael
I just totally blew a sales call.,5,22,Jim
This isn't Dunder Mifflin paper. Some sort of Pendleton crap.,4,13,Michael
"Yeah them, and the Latin Kings... the Warriors...",4,12,Darryl
I do that myself now.,9,13,Dwight
Lunch.,5,24,Dwight
Now this is called slack lining.,9,1,Andy
"So Julia, um, let's see. With regards to, uh, billing. Should we send bills to you, or to your boyfriend's house or?",5,14,Andy
Pretty good. You must be almost out of water.,7,1,Jim
You seem suprised.,6,11,Dwight
"""now, i have a machine gun. Ho, ho, ho.""",9,9,Kevin
"Hey, do you need any help?",6,5,Michael
It's with Brian and Alyssa.,9,15,Pam
"Michael, Michael, wait we don't have, we don't have the budget for another party.",7,11,Pam
I am not going back until I fulfill my resolution.,7,12,Dwight
Okay. We are off. Ryan and I are going to go get some supplies and I need you to handle hiring the strippers.,3,14,Michael
Okay. I think five plain and one veggie should be fine.,2,18,Angela
So long Donna!,7,4,Dwight
"When me President, they see.  They see.",8,2,Kevin
"Pam, pack up your post-natal swimwear, make it a one piece or this offer is rescinded, and join me on a fantastic barbeque one week from today in Tallahassee, Florida where I'm going to be living for the next three weeks.",8,14,Dwight
Pay him whatever he wants.,5,6,Angela
"Okay, this isn’t working for me, ‘cause no one would ever believe that she would be a boss.",9,7,Dwight
"I told you we're way past rules. We have been for some time now. We start having rules now, everything we built collapses.",7,18,Darryl
"And that- I-I don't need to be managed, Charles. And if you want pick up some tips, observing here, and take them to the other branches, it's all good. But Jan would mostly come by when she was super horny, and Ryan would come by to visit his parents and do laundry, so... Are we clear?",5,18,Michael
He’ll be fine. I let me suck on a strawberry. He’s allergic but he’ll get over it fast. I had to talk to you.,9,23,Ryan
Sive drafely.,8,6,Dwight
"Good, let 'em. It helps our cause.",1,4,Dwight
"Michael, the reason I asked you down here for this chat is that I've been thinking that your fears about China are a bit exaggerated.",7,10,Oscar
What a douche bag!,7,11,Michael
"Oh, please.",8,23,Dwight
That's my corner.,5,21,Michael
"Roll in the hay, five dollars.",7,9,Dwight
What? What is it?,9,16,Angela
"Yeah, tell me about it.",4,4,Michael
Niiice.,2,18,Kevin
We're really close.De,7,20,Michael
Or a trained seal.,4,4,Michael
I suppose I am.,7,24,Jim
Remember how you said that you were looking in the office to do calisthenics and aerobics?,8,9,Dwight
Who are you?,6,9,Pam
How is that relevant to anything?,7,4,Andy
"Breathe through your nose. Remove your stockings. Okay? They'll melt right into your flesh! Stay below the smoke line. Let's go! Clear out, stat! STAT MEANS NOW!",2,4,Dwight
I thought I did. So...,5,17,Michael
"Listen lady, you can expect these kind of repercussions as long as you keep trying to poach our people.",4,6,Dwight
"Pam, pam. Psst. Pam.",8,1,Erin
It was kind of hard to hear.,1,2,Kevin
"Can we just do one? That's cool, that's fine.",1,5,Ryan
Give me the details of how that happened.,5,17,Michael
So I love Willy Wonka. That golden ticket scene is so inspiring to me that that's where I cam up with that idea .,5,17,Dwight
"No, fake girlfriends are always wrong.",7,11,Jim
"I think you are smart, and capable, and you aim high.",4,13,Michael
"Uhm, these are, okay this is us at the theater. And antiquing! Oh, rollerblading.",7,21,Angela
"I'm very excited to see Brian. Brian's a great guy. And Pam and I have gotten really close to he and his wife, Alyssa over the years. And he got fired for protecting my wife from a jerk in the warehouse. I'm sorry, but you know him. He's a good guy.",9,15,Jim
On the drums! On the drums!,2,22,Pam
Wow! Lot of calories.,4,11,Dwight
He's the best boyfriend in the world. Tell me about him before I met him.,6,20,Erin
"Imagine going back and watching a tape of your life. You could see yourself change and make mistakes…and grow up. You could watch yourself fall in love, watch yourself become a husband, become a father. You guys gave that to me. And that’s…an amazing gift.",9,23,Jim
Banana cream is the first to go. We'll be lucky to get pumpkin at this point!,9,4,Andy
"Hey, did you guys register for wedding gifts?",6,3,Phyllis
Mike.,2,15,Darryl
Thank you. Really you guys thank you. Very sweet.,8,7,Pam
"Oh. I'm fine. Thank you, though.",6,15,Jim
"Please don't pick up, please don't pick up, please don't pick up.",4,11,Jim
"Which is, of course…",9,22,Dwight
And a man.,6,1,Jim
May I point out that the sex appeared to be consensual? Both animals were smiling.,3,20,Dwight
"Can we talk about it at the end of the day? I gotta call, gotta make a call.",8,5,Andy
Dwight was in the ladies' room and he was looking at me.,2,1,Phyllis
Is this a show about the resiliency of the human spirit? Or is it a show about singing?,9,22,Andy
It stopped.,6,19,Jim
"No, we definitely can talk about it in the next--Andy and",6,17,Jim
That's it. I want to talk to this guy. Put me in his ear.,5,6,Jim
Alright.,7,2,Jim
"And I used to say ""Hey, got latte?"" And she'd say, that's not funny.",3,10,Michael
How many buttons do you have?,8,16,Jim
Obesity-caused illnesses.,5,1,Dwight
"So, you just couldn't take it anymore, huh?",2,14,Jim
There she is. I swear Phyllis you are as beautiful as the first day you started work at Dunder Mifflin.,3,15,Michael
Shut it! That's... suck up!,3,8,Michael
"Excellent, thanks.",3,1,Pam
"I imagine one of the best things about being an IT guy is, you get to know everyone's computer passwords.",6,15,Dwight
"That's the whole point, dummy.",3,19,Michael
So important. And then we will destroy the man himself.,8,7,Dwight
"Okay, so far, our ideal party consists of beer, fights to the death, cupcakes, blood pudding, blood, touch football, mating, charades, and yes, horse hunting.",5,15,Jim
Oh God. I wouldn't last in jail Oscar. I'm not like you.,6,5,Kevin
Hey!,6,4,Jim
"And now, by show of applause, We will crown this year's hay king. All in favor of Purebred. Put your hands together for... Mixed Bread. And let's hear it for... Purebred. Mm. It appears we have a three-way tie. I have no choice but to pick the Hay King myself. I pick... Me! I am your Hay King! All Hail your Hay King!",7,9,Dwight
"Alright, I will get a card at the hospital and we'll sign it outside her room.",4,1,Pam
"Yes, is Alfredo there? Can I speak to a manager then? Okay, can you tell the manager that I'm keeping his delivery kid until I get a discount on the eight pizzas I ordered. Yes, I know it is not on the coupon. Also I would like him to throw in two, three pizzas for our...",4,3,Michael
"Ooh. Ouch. Okay, good. You're funny, very good and funny. Tell me, A.J., are you dating? Is there somebody you date?A.J. Yeah. Why, are you interested?",5,15,Michael
She said it is the name of a Viking princess. So...,5,3,Michael
It's so cold. Even with my coat on.,7,11,Angela
Why would you throw something wet at me?,6,23,Oscar
Just for a minute.,1,6,Dwight
"I'm barren, Jim.",9,4,Dwight
Come down and... open it and you'll see.,3,19,Pam
"Alright, let me just say good-bye to Pam.",4,3,Jim
"Ooh, ""the case of the hit and run,"" that's exciting.",8,13,Erin
"Well, yeah, I mean, what is...",2,1,Michael
"Well, I didn't think that butt was funny.",9,14,Pam
Okay. How's yoga?,4,4,Michael
